Name,Category,Author name,Author category,"Does the document acknowledge/reference a broader ""primitive""",Use cases mentioned,Watermark/Watermark-Adjacent Technologies Mentioned,Technologies as an Exhaustive List,Coordination with developer for watermark generation (coarse),Coordination with developer for watermark generation (fine),Detection process acknowledgement,Detection process implementation (Fine),Distinguish between verifiers and tool providers (coarse),Distinguish between verifiers and tool providers (fine),Who are verifiers required to trust (coarse),Who are verifiers required to trust (fine),What properties does the document acknowledge?,Adversarial robustness (coarse),Adversarial robustness (fine),Honest robustness (coarse),Honest robustness (fine),Quality (coarse),Quality (fine),False negative rate (coarse),False negative rate (fine),Unforgeability (coarse),Unforgeability (fine),False positive rate (coarse),False positive rate (fine),Calls to action,Assertiveness of call to action,Additional Notes,Column 33,Column 34,Column 35
DEEPFAKES Accountability Act,Bill (rejected),Yvette Clarke,Government official(s),No,Deepfakes,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Acknowledges that a detection process exists (if applicable),Asks for research and development of technologies to detect Deepfakes.,No,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Model providers should provide detection tools, Model users must include disclaimer, No person should remove watermarks",Legal mandate,,,,
S 1044 (Pennsylvania),Bill (rejected),"DILLON, KANE, FONTANA, TARTAGLIONE, HAYWOOD, COSTA, CAPPELLETTI AND BOSCOLA,",Government official(s),No,None,"""Say """"I Used AI""""""",N/A,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
A 664 (Wisconsin),Bill (passed into law),Neylon,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",N/A,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,,,,,
H 5450 (Connecticut),Bill (rejected),Joint Committee on Government Administration and Elections,Government entity,No,Election Integrity,"""Say """"I Used AI""""""",N/A,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
H 1267 (Mississippi),Bill (rejected),"Representatives James-Jones, Nelson, Paden, Butler-Washington, Johnson, Summers, Bell (65th), Clark, Holloway (27th), Scott",Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
S 6638 (New York),Bill (rejected),Parker,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
S 6859 (New York),Bill (rejected),Sen. GIANARIS,Government official(s),No,None,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
AI Labeling Act of 2023,Bill (rejected),Brian Schatz,Government official(s),No,None,"Explicit labels, Metadata tagging, ""Say """"I Used AI""""""",Examples,Adding watermarks requires model developer involvement,"Model developers must include explicit labels and metadata for later detection
N/A (Say 'I Used AI')",Acknowledges that a detection process exists (if applicable),"AI generated content detection must be developed
Not Applicable(Explicit labels)
Not Applicable ('Say I Used AI')
Does not discuss (Metadata tagging)",No,"Not Applicable (Explicit Labels), No (Metadata Tagging), ""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,Adversarial Robustness,Acknowledged,Explicit labels should be reasonably difficult to remove. ,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Model providers must add watermarks, No person should remove watermarks, Model providers should provide detection tools, Model users must include disclaimer, Development of standards",Legal mandate,,,,
A 7106 (New York),Bill (rejected),"M. of A. BORES, WALKER, TAYLOR, CUNNINGHAM, McDONALD, ROZIC, LEE, L. ROSENTHAL, EPSTEIN, TAPIA, RIVERA, BURGOS, GIBBS, DAVILA, DINOWITZ, SILLITTI, CARROLL, SIMON, BURDICK, SHIMSKY, HUNTER, JACKSON, WOERNER",Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
A 7904 (New York),Bill (rejected),Vanel,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
A 9028 (New York),Bill (rejected),M. of A. NORRIS,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
S 7592 (New York),Bill (rejected),Ashby,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
S 9640 (New York),Bill (rejected),Sen. HOYLMAN-SIGAL,Government official(s),No,None,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
S 88 (North Carolina),Bill (rejected),Redistricting and Elections Committee,Government entity,No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
