o,Content scope,Content scope details,Use cases,Use cases details,Provisions,Provisions details,Technologies,Technologies details,Technology requirements,Technology requirements details,Remedies and penalties,Remedies details,
A 3050 (California),Qualified (qualitative) usage of AI,"Artificial intelligence: ""a machine or software that has the capacity to mimic human cognitive functions, including, but not limited to, learning, problem solving, and patter recognition, which enables the machine or software to perform tasks that normally require human intelligence. AI includes various subfields, including, but not limited to, machine learning, natural language processing, and large language models.""

AI-generated materials: ""content that is produced by AI technology, including, but not limited to, text, images, audio, or synthetic data.""

AI-generating entity: ""an entity, including a business, that generates, creates, or otherwise produces AI-generated materials.""

Covered content: ""AI-generated material that does any of the following:

(A) Impersonates a specific individual or group of individuals.

(B) Is represented as original material by an AI-generating entity that produced the material, including, but not limited to, artwork, songs, or news media.

(C) Meets criteria as established by the Department of Technology.""",General,General.,"Model providers must add disclosures, Standards must be developed","Development of standards: ""'The department shall issue regulations to establish standards for the watermarks required under subdivision (b). The department's standards shall require, at minimum, an AI-generating entity to include digital content provenance in the watermarks.""

Unclear definition of AI-generating entity (model provider or model users?)",Underspecified,"""Watermark"" (not defined)",Qualitative requirements,"As specified later by standards. At minimum, such watermarks must include digital content provencance (as defined in Section 11547.5, i.e., ""the verifiable chronology of the original piece of digital content, such as an image, video, audio recording, or electronic document."")",Monetary penalties,"""Civil penalty assessed by the department [...] The amount of the civil penalty, as determined by the department, shall be not less than two hundred fifty dollars ($250) or more than five hundred dollars ($500).""",
HR 3831,Not defined,Covered content: any output generated by artificial intelligence. Note: no terms defined.,General,General.,Model providers must add disclosures,,Underspecified,No technologies defined.,Specific requirements,"Should contain ""Disclaimer: this output has been generated by artificial intelligence.”",Violation of established act,"Violation ""shall be treated as a violation of a regulation under section 18(a)(1)(B) of the Federal Trade Commission Act (15 U.S.C. 57a(a)(1)(B)) regarding unfair or deceptive acts or practices.""",
AB 3211 (California),Qualified (quantitative) usage of AI,"Artificial intelligence: ""an engineered or machine-based system that varies in its level of autonomy and that can, for explicit or implicit objectives, infer from the input it receives how to generate outputs that can influence physical or virtual environments.""

GenAI system: ""an artificial intelligence system that can generate derived synthetic content, including images, videos, and audio, and that emulates the structure and characteristics of the system’s training data.""

Synthetic content: "" images, videos, and audio, that has been produced or significantly modified by a generative AI system.""

Covered content: ""synthetic content produced or significantly modified by a generative AI system"".",General,General,Model providers must add disclosures,,Underspecified,"""Provenance data"", which ""may be communicated using digital fingerprinting to associate metadata with digital content, attaching metadata to digital content, including through the use of a digital signature, or embedding of watermarks in digital content.""",Qualitative requirements,"Provenance data ""(A), shall, at minimum, be difficult to remove or disassociate, identify the digital content as synthetic, and communicate the following provenance data in order of priority, with clause (i) being the most important, and clause (iv) being the least important:
(i) The synthetic nature of the content.
(ii) The name of the generative AI provider.
(iii) If feasible for the provenance technique used, the time and date the provenance data was applied.
(iv) If applicable and feasible for the provenance technique used, the specific portions of the content that are synthetic.""

Provider should also provide a detection tool that satisfies a number of criteria.",,,
S 942 (California),Unqualified usage of AI,"""created or altered""",General,,Model providers must add disclosures,,,"""Latent disclosure"", ""manifest disclosure""","Qualitative requirements, Specific requirements","Manifest disclosure: ""(1) The disclosure identifies content as AI-generated content.

(2) The disclosure is clear, conspicuous, appropriate for the medium of the content, and understandable to a reasonable person.

(3) The disclosure is permanent or extraordinarily difficult to remove, to the extent it is technically feasible.""

Latent disclosure: ""(1) To the extent that it is technically feasible and reasonable, the disclosure conveys all of the following information, either directly or through a link to a permanent internet website:

(A) The name of the covered provider.

(B) The name and version number of the GenAI system that created or altered the content.

(C) The time and date of the content's creation or alteration.

(D) A unique identifier.

(2) The disclosure is detectable by the covered provider's AI detection tool.

(3) The disclosure is consistent with widely accepted industry standards.

(4) The disclosure is permanent or extraordinarily difficult to remove, to the extent it is technically feasible.""",,,
EU AI Act,Qualified (quantitative) usage of AI,"""it is appropriate to envisage that this marking obligation should not cover AI systems performing primarily an assistive function for standard editing or AI systems not substantially altering the input data provided by the deployer or the semantics thereof.""",General,,Model providers must add disclosures,,,"""Watermarks, metadata identifications, cryptographic methods for proving provenance and authenticity of content, logging methods, fingerprints or other techniques"", ""providers should also take into account the specificities and the limitations of the different types of content and the relevant technological and market developments in the field, as reflected in the generally acknowledged state of the art. Such techniques and methods can be implemented at the level of the AI system or at the level of the AI model, including general-purpose AI models generating content, thereby facilitating fulfilment of this obligation by the downstream provider of the AI system. To remain proportionate, it is appropriate to envisage that this marking obligation should not cover AI systems performing primarily an assistive function for standard editing or AI systems not substantially altering the input data provided by the deployer or the semantics thereof.""",Qualitative requirements,"""Machine readable format and detection that the output has been generated or manipulated by an AI system and not a human"", ""should be sufficiently reliable, interoperable, effective and robust as far as this is technically feasible, taking into account available techniques or a combination of such techniques""",,,
H 710 (Vermont),Unqualified usage of AI,"Artificial intelligence: ""any technology, including machine learning, that uses data to train an algorithm or predictive model for the purpose of enabling a computer system or service to autonomously perform any task, including visual perception, language processing, and speech recognition, that is normally associated with human intelligence or perception.""

Covered content: ""any digital content, including any audio, image, text, or video, that is produced by a generative artificial intelligence system.""",General,General.,Model providers must add disclosures,,,"""Watermark or other mechanism""",Qualitative requirements,"Watermark must be: ""(A) is embedded in, and reasonably difficult to remove from, any digital content; and

(B) enables a consumer who accesses the digital content to verify the authenticity of the digital content and to determine whether the digital content is synthetic digital content.""",,,
S 2 (Connecticut),Qualified (quantitative) usage of AI,"Artificial intelligence: ""any machine-based system that, for any explicit or implicit objective, infers from the inputs such system receives how to generate outputs, including, but not limited to, content, decisions, predictions or recommendations, that can influence physical or virtual environments;""

Provisions do not apply if ""(1) Performs an assistive function for standard editing;

(2) Does not substantially alter the input data provided by the deployer or the semantics thereof""","General, Exceptions","Exceptions: used to detect, prevent, investigate or prosecute any crime where authorized by law",Model providers must add disclosures,,,"""Marked in a machine-readable format and detectable as synthetic digital content""",Qualitative requirements,"""in a manner that (i) is clear to consumers, and (ii) respects any applicable accessibility requirements; and

(2) As far as technically feasible and as reflected in any relevant technical standards, ensure that such developer's technical solutions are effective, interoperable, robust and reliable, taking into account (A) the specificities and limitations of different types of synthetic digital content, (B) the implementation costs, and (C) the generally acknowledged state of the art.""

""(b) If the synthetic digital content described in subsection (a) of this section is in an audio, image or video format, and such synthetic digital content forms part of an evidently artistic, creative, satirical, fictional analogous work or program, the disclosure required under said subsection shall be limited to a disclosure that does not hamper the display or enjoyment of such work or program.

(c) If the synthetic digital content described in subsection (a) of this section is in the form of text published to inform the public on any matter of public interest, no disclosure shall be required under said subsection if:

(1) Such synthetic digital content has undergone a process of human review or editorial control; and

(2) A person holds editorial responsibility for the publication of such synthetic digital content.""",,,
H 3453 (Oklahoma),Qualified (qualitative) usage of AI,"Artificial intelligence: ""a. a system that:

(1) performs tasks under varying and unpredictable circumstances without significant human oversight or can learn from experience and improve such performance when exposed to data sets,

(2) is developed in any context, including, but not limited to, software or physical hardware, and solves tasks requiring human-like perception, cognition, planning, learning, communication, or physical action, or

(3) is designed to:

(a) think or act like a human, including, but not limited to, a cognitive architecture or neural network, or

(b) act rationally, including, but not limited to, an intelligent software agent or embodied robot that achieves goals using perception, planning, reasoning, learning, communication, decision-making or action, or

b. a set of techniques including, but not limited to, machine learning, that is designed to approximate a cognitive task""

""would lead a reasonable person to believe that such content is real and authentic""",General,General.,"Model providers must add disclosures, Disclosures must not be removed",,Underspecified,"""Watermark"" (not defined) or some other form of ""content credential"" (not defined)",Qualitative requirements,"If watermarks/content credentials are removed by ""any websites, social media platforms, search engines, and the like"", they must insert an updated one ""that indicates that the original was removed or altered""",,,
H 5321 (Illinois),Qualified (qualitative) usage of AI,"Generative artificial intelligence system: ""any system that uses artificial intelligence to generate or substantially modify image, video, audio, multimedia, or text content.""

AI-generated content: ""image, video, audio, multimedia, or text content that is substantially created or modified by a generative artificial intelligence system such that the use of the system materially alters the meaning or significance that a reasonable person would take away from the content.""

Covered content: ""image, video, audio, or multimedia AI-generated content"".

",General,General.,"Model providers must add disclosures, Disclosures must not be removed",Removal of watermarks: Requires that model providers contractually enforce that watermarks are not removed,Underspecified,"""Clear and conspicuous disclosure"" and metadata tagging","Qualitative requirements, Specific requirements","""(1) The disclosure shall include a clear and conspicuous notice, as appropriate for the medium of the content, that identifies the content as AI-generated content;

(2) the output's metadata information shall include an identification of the content as being AI-generated content, the identity of the tool used to create the content, and the date and time the content was created; and

(3) the disclosure shall, to the extent technically feasible, be permanent or unable to be easily removed by subsequent users.""",Violation of established act,"""A violation of this Section constitutes an unlawful practice within the meaning of [Consumer Fraud and Deceptive Business Practices Act].""",
S 217 (Ohio),Unqualified usage of AI,"Artificial intelligence: ""a machine-based system that, for a given set of human-defined objectives, uses machine-and human-based inputs to make predictions, recommendations, or decisions influencing real or virtual environments. ""Artificial intelligence"" and ""AI"" include only machine-based systems that are capable of all of the following:

(1) Perceiving real and virtual environments;

(2) Abstracting such perceptions into models through analysis in an automated manner;

(3) Using model inference to formulate options for information or action.""

Covered content: ""any AI-generated product""",General,General.,"Model providers must add disclosures, Disclosures must not be removed","Removal of watermarks: ""No person shall remove a watermark required by this section with the purpose of concealing that the product was generated using artificial intelligence.""",Underspecified,"""Watermark"" (not defined)",Qualitative requirements,"""Informs the user that the particular product was generated using an AI system.""",Monetary penalties,"""(D) Any person aggrieved by a violation of division[s] [...] of this section has and may commence a civil action against the violator for damages that result from the violation. In a civil action under this division, any person found to have removed a watermark required by this section shall be rebuttably presumed to have caused the harm alleged in the complaint.

(E) In addition to the civil action authorized under division (D) of this section, the attorney general may commence a civil action against a person that violates division[s] [...] of this section for injunctive relief and, in the case of a person that violates [removal of watermarks], a civil penalty of up to ten thousand dollars.""",
